unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw
1780400106,37.77,41952384,16.58,1484,1572864,93888,644
1780400107,24.34,42014256,16.58,1495,1572864,93888,652
1780400108,24.83,42058556,16.58,1505,1572864,93888,660
1780400109,26.62,42168736,16.58,1528,1572864,93984,623
1780400110,26.74,42243248,16.58,1546,1572864,93984,633
1780400111,26.08,42374336,16.05,1560,1572864,93984,643
1780400112,28.66,42510404,16.05,1585,1572864,94080,659
1780400114,28.13,42004208,16.05,1602,1572864,94080,620
1780400115,26.69,41102712,16.05,1620,1572864,94272,630
1780400116,27.88,41187804,16.05,1645,1572864,94176,644
1780400117,26.38,41315268,15.33,1662,1572864,94080,653
1780400118,26.91,41401508,15.33,1678,1572864,94176,634
1780400119,28.08,41486308,15.33,1697,1572864,94272,643
1780400120,26.99,41616024,15.33,1708,1572864,94272,652
1780400121,26.06,41739760,15.22,1727,1572864,94176,666
1780400122,28.10,41769568,15.22,1751,1572864,94176,633
1780400123,28.17,41908392,15.22,1767,1572864,94080,646
1780400124,27.39,41948684,15.22,1787,1572864,94176,652
1780400125,27.86,41935212,15.22,1812,1572864,93984,663
1780400126,25.33,41538216,14.72,1832,1572864,93792,625
1780400127,21.62,41593652,14.72,1853,1572864,93696,636
1780400128,24.41,41668148,14.72,1874,1572864,93696,642
1780400129,19.23,41634744,14.72,1889,1572864,93696,648
1780400130,19.10,41622948,14.72,1909,1572864,93888,623
1780400131,20.03,41629204,14.19,1938,1572864,93888,637
1780400132,20.05,41643208,14.19,1966,1572864,93888,650
1780400133,17.52,41612716,14.19,1992,1572864,93792,661
1780400134,18.43,41639796,14.19,2013,1572864,93888,625
1780400136,21.75,41607388,14.19,2047,1572864,93984,642
1780400137,18.26,41590988,13.61,2064,1572864,93984,652
1780400138,16.29,41574416,13.61,2082,1572864,93984,660
1780400139,19.87,41622504,13.61,2103,1572864,93984,627
1780400140,19.18,41635408,13.61,2174,1572864,94176,635
1780400141,19.05,40387588,12.92,2192,1572864,94272,647
1780400142,20.95,40413880,12.92,2220,1572864,94272,664
1780400143,16.89,40402292,12.92,2241,1572864,94272,625
1780400144,18.89,40397576,12.92,2256,1572864,94272,633
1780400145,20.44,40380436,12.92,2280,1572864,94176,646
1780400146,17.61,40376480,13.09,2311,1572864,94176,659
1780400147,16.55,40366668,13.09,2335,1572864,94176,624
1780400148,18.46,40354348,13.09,2355,1572864,94080,634
1780400149,18.36,40377228,13.09,2378,1572864,94080,641
1780400150,16.41,40375572,13.09,2391,1572864,94176,615
1780400151,20.78,40380796,12.92,2416,1572864,94080,635
1780400152,19.34,40398220,12.92,2437,1572864,93792,647
1780400153,22.21,40384912,12.92,2448,1572864,93792,655
1780400154,23.22,40488228,12.92,2474,1572864,93696,621
1780400155,19.17,40392336,12.92,2498,1572864,93792,634
1780400156,19.97,40365432,12.77,2518,1572864,93984,644
1780400158,23.74,40298528,12.77,2542,1572864,94176,652
1780400159,19.80,40320828,12.77,2553,1572864,94176,611
1780400160,19.56,40310432,12.77,2568,1572864,94176,621
1780400161,25.53,40333804,12.77,2636,1572864,94272,630
1780400162,20.60,40327920,12.94,2647,1572864,94272,637
1780400163,20.82,40295552,12.94,2669,1572864,94272,612
1780400164,20.36,40327456,12.94,2691,1572864,94176,617
1780400165,17.65,40362224,12.94,2707,1572864,94176,629
1780400166,19.43,40367212,12.55,2727,1572864,94176,645
1780400167,20.47,40429932,12.55,1769,1572864,94176,603
1780400168,19.46,40386048,12.55,1784,1572864,94272,611
1780400169,20.70,40365168,12.55,1799,1572864,94272,621
1780400170,19.17,40428232,12.55,1812,1572864,94272,629
1780400171,21.87,40390504,12.42,1834,1572864,94272,608
1780400172,19.08,40421256,12.42,1856,1572864,94272,627
1780400173,21.14,40403840,12.42,1877,1572864,94272,636
1780400174,23.04,40478220,12.42,1897,1572864,94272,642
1780400175,22.69,40470548,12.42,1917,1572864,94272,611
1780400176,18.05,40464616,12.15,1947,1572864,94272,624
1780400177,21.66,40479680,12.15,1974,1572864,94272,629
1780400178,18.41,40470304,12.15,1988,1572864,94272,637
1780400180,21.94,40458656,12.15,2004,1572864,94272,604
1780400181,22.76,40454644,12.15,2032,1572864,94272,619
1780400182,22.84,40423344,11.82,2045,1572864,94272,625
1780400183,25.08,40415976,11.82,2063,1572864,94272,639
1780400184,24.72,40433548,11.82,2092,1572864,94272,605
1780400185,23.75,40377424,11.82,2111,1572864,94176,614
1780400186,20.74,40381288,11.35,2132,1572864,94080,625
1780400187,22.63,40283752,11.35,2156,1572864,94080,638
1780400188,22.41,40262760,11.35,2169,1572864,94080,603
1780400189,20.23,40243944,11.35,2182,1572864,94080,612
1780400190,26.42,40309692,11.35,2206,1572864,94080,623
1780400191,18.61,40281956,11.08,2220,1572864,93984,633
1780400192,18.35,40270504,11.08,2237,1572864,93888,611
1780400193,22.96,40284868,11.08,2263,1572864,93984,619
1780400194,19.18,40280472,11.08,2280,1572864,93888,626
1780400195,19.50,40260076,11.08,2296,1572864,93888,595
1780400196,34.35,40295416,11.72,2331,1572864,93696,613
1780400197,24.69,40301956,11.72,2352,1572864,93696,624
1780400198,49.62,40283732,11.72,2368,1572864,93792,637
1780400199,29.05,40279116,11.72,2393,1572864,93792,602
1780400200,43.22,40384128,11.72,2433,1572864,93696,616
1780400202,18.11,40364296,11.42,2451,1572864,93696,629
1780400203,19.43,40405700,11.42,2469,1572864,93696,641
1780400204,21.05,40415000,11.42,2488,1572864,93600,599
1780400205,19.60,40400996,11.42,2515,1572864,93504,614
1780400206,44.32,40235324,11.42,2529,1572864,93312,618
1780400207,58.21,40209904,14.43,1679,1572864,93024,626
1780400208,24.69,40148236,14.43,1690,1572864,92928,590
1780400209,22.06,40153852,14.43,1702,1572864,92928,596
1780400210,39.14,40044848,14.43,1713,1572864,92928,605
1780400211,58.08,40050836,15.60,1623,1572864,92832,607
1780400212,31.51,40049476,15.60,1629,1572864,92736,572
1780400213,19.58,40060832,15.60,1644,1572864,92832,580
1780400214,19.77,40042896,15.60,1651,1572864,92832,585
1780400215,39.58,40020696,15.60,1660,1572864,92832,590
1780400216,25.25,40009896,14.83,1676,1572864,92832,557
1780400217,20.04,39994228,14.83,1685,1572864,92832,561
1780400218,18.00,39976684,14.83,1692,1572864,92640,566
1780400219,18.88,39952960,14.83,1705,1572864,92448,574
1780400220,18.84,39933432,14.83,1713,1572864,92544,545
1780400221,17.93,39598748,14.28,1724,1572864,92640,554
1780400222,15.55,39329516,14.28,1735,1572864,92352,559
1780400223,18.14,39347296,14.28,1744,1572864,92448,562
1780400225,16.06,39349768,14.28,1755,1572864,92256,530
1780400226,15.43,39322492,14.28,1767,1572864,92160,534
1780400227,15.47,39347008,13.78,1776,1572864,92160,540
1780400228,15.52,39350072,13.78,1789,1572864,92064,548
1780400229,16.70,39333760,13.78,1469,1572864,92064,511
1780400230,15.27,39331460,13.78,1475,1572864,91968,514
1780400231,16.37,39341776,13.23,1488,1572864,92064,522
1780400232,14.74,39354192,13.23,1494,1572864,92064,526
1780400233,18.24,39336920,13.23,1500,1572864,92064,483
1780400234,18.29,39354592,13.23,1512,1572864,92064,490
1780400235,18.17,39395308,13.23,1527,1572864,91968,494
1780400236,44.00,39367272,14.74,1537,1572864,91872,503
1780400237,27.14,39425632,14.74,1418,1572864,91968,470
1780400238,16.60,39238012,14.74,1430,1572864,91776,474
1780400239,18.53,39265228,14.74,1439,1572864,91776,480
1780400240,38.77,39261788,14.74,1450,1572864,91872,489
1780400241,20.79,39258728,14.04,1392,1572864,91776,462
1780400242,15.41,39302968,14.04,1400,1572864,91776,469
1780400243,16.72,39435148,14.04,1408,1572864,91872,473
1780400244,16.81,39483288,14.04,1417,1572864,91872,430
1780400245,16.82,39464716,14.04,1430,1572864,91968,442
1780400246,19.47,39476132,13.39,1440,1572864,91968,449
1780400248,19.25,39586752,13.39,1448,1572864,92064,452
1780400249,19.36,39583788,13.39,1460,1572864,92064,417
1780400250,21.60,39853052,13.39,1468,1572864,92256,421
1780400251,25.82,39962092,13.39,1473,1572864,92256,424
1780400252,23.47,40247720,14.16,1482,1572864,92256,434
1780400253,24.29,40320556,14.16,1490,1572864,92448,395
1780400254,21.42,40426440,14.16,1496,1572864,92352,398
1780400255,20.65,40657456,14.16,1508,1572864,92256,407
1780400256,27.13,40787528,14.39,1519,1572864,92256,414
1780400257,35.69,41132352,14.39,1527,1572864,92352,378
1780400258,20.12,41349192,14.39,1539,1572864,92352,387
1780400259,23.20,41564992,14.39,1550,1572864,92352,391
1780400260,26.27,41899792,14.39,1555,1572864,92064,394
1780400261,19.04,42245808,14.20,1567,1572864,91968,363
1780400262,17.35,42526044,14.20,1575,1572864,92064,369
